SIGLA;Nome Padrão;Qualis 2016
NordiCHI;Nordic Conference on Human-Computer Interaction;B1
PPSN;International Conference on Parallel Problem Solving from Nature;B1
SYSCON;IEEE International Systems Conference;B1
VTS;IEEE VLSI Test Symposium;B1
WD;Wireless Days Conference;B1
CHASE;International Workshop on Cooperative and Human Aspects of Software Engineering;B1
COMMA;International Conference on Computational Models of Argument;B1
ISMM;International Symposium on Mathematical Morphology;B1
ISOLA;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation;B1
WEB3D;International Conference on 3D Web Technology;B1
ADBIS;East European Conference on Advances in Databases and Information Systems;B1
CAIP;International Conference on Computer Analysis of Images and Patterns;B1
COCOON;International Computing and Combinatorics Conference;B1
CSEE&T;Conference on Software Engineering Education and Training;B1
DFT;IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems;B1
ICNC;International Conference on Natural Computation;B1
MIG;ACM Siggraph Conference on Motion in Games;B1
CIARP;Iberoamerican Congress on Pattern Recognition;B1
DEXA;International Conference on Database and Expert Systems Applications;B1
HASE;IEEE International Symposium on High Assurance Systems Engineering;B1
OPODIS;International Conference on Principles of Distributed Systems;B1
SBAC-PAD;International Symposium on Computer Architecture and High Performance Computing;B1
WETICE;IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises;B1
ICFEM;International Conference on Formal Engineering Methods;B1
LATIN;Latin American Symposium on Theoretical Informatics;B1
VRCAI;International Conference on Virtual Reality Continuum and its Applications;B1
3DIC;International 3D System Integration Conference;B1
BIOSIG;International Conference of the Biometrics Special Interest Group;B1
BMSB;IEEE International Symposium on Broadband Multimedia Systems and Broadcasting;B1
ECMDAFA;European Conference on Modelling Foundations and Applications;B1
ESANN;European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning;B1
FSTTCS;Annual Conference on Foundations of Software Technology and Theoretical Computer Science;B1
ICANN;International Conference on Artificial Neural Networks;B1
ICCP;IEEE International Conference on Intelligent Computer Communication and Processing;B1
IIWAS;International Conference on Information Integration and Web-based Applications & Services;B1
IPCCC;International Performance, Computing, and Communications Conference;B1
MWSCAS;International Midwest Symposium on Circuits and Systems;B1
NCA;IEEE International Symposium on Network Computing and Applications;B1
PROFES;International Conference on Product-Focused Software Process Improvement;B1
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation;B1
SIMUTOOLS;International Conference on Simulation Tools and Techniques;B1
VCIP;IEEE International Conference on Visual Communications and Image Processing;B1
3PGCIC;International Conference on P2P, Parallel, Grid, Cloud and Internet Computing;B1
ACE;International Conference on Advances in Computer Entertainment Technology;B1
ANTS;IEEE International Conference on Advanced Networks and Telecommuncations Systems;B1
CBMI;International Workshop on Content-Based Multimedia Indexing;B1
CBSE;International ACM Sigsoft Symposium on Component-Based Software Engineering;B1
DAWAK;International Conference on Big Data Analytics and Knowledge Discovery;B1
ECAL;European Conference on Artificial Life;B1
ETS;IEEE European Test Symposium;B1
EVOCOP;European Conference on Evolutionary Computation in Combinatorial Optimization;B1
ICECS;IEEE International Conference on Electronics, Circuits and Systems;B1
ICGSE;IEEE International Conference on Global Software Engineering;B1
ICIAR;International Conference on Image Analysis and Recognition;B1
ICITST;International Conference for Internet Technology and Secured Transactions;B1
ISI;IEEE International Conference on Intelligence and Security Informatics;B1
IWANN;International Work-Conference on Artificial and Natural Neural Networks;B1
MICAI;Mexican International Conference on Artificial Intelligence;B1
NLDB;International Conference on Application of Natural Language to Information Systems;B1
PADS;ACM SIGSIM Conference on Principles of Advanced Discrete Simulation;B1
SAS;IEEE Sensors Applications Symposium;B1
SCAM;IEEE International Working Conference on Source Code Analysis and Manipulation;B1
SPIRE;International Symposium on String Processing and Information Retrieval;B1
TSD;International Conference on Text, Speech and Dialogue;B1
UKSIM;International Conference on Computer Modelling and Simulation;B1
APLAS;Asian Symposium on Programming Languages and Systems;B1
CASCON;Annual International Conference on Computer Science and Software Engineering;B1
CIDM;Symposium on Computational Intelligence and Data Mining;B1
CMSB;International Conference on Computational Methods in Systems Biology;B1
CSNDSP;International Symposium on Communication Systems, Networks and Digital Signal Processing;B1
DOCENG;ACM SIGWEB International Symposium on Document Engineering;B1
ECMS;European Conference on Modelling and Simulation;B1
ICA3PP;International Conference on Algorithms and Architectures for Parallel Processing;B1
ICSOB;International Conference on Software Business;B1
ICVS;International Conference on Computer Vision Systems;B1
MOBIQUITOUS;International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services;B1
NEWCAS;IEEE International New Circuits and Systems Conference;B1
PACT;International Conference on Parallel Computing Technologies;B1
PPDP;International Symposium on Principles and Practice of Declarative Programming;B1
RECONFIG;International Conference on Reconfigurable Computing and FPGAs;B1
RuleML;International Web Rule Symposium;B1
SEKE;International Conference on Software Engineering and Knowledge Engineering;B1
SOFTCOM;International Conference on Software, Telecommunications and Computer Networks;B1
SUM;International Conference on Scalable Uncertainty Management;B1
TPDL;International Conference on Theory and Practice of Digital Libraries;B1
VLSI;OC - International Conference on Very Large Scale Integration;B1
WFCS;IEEE World Conference on Factory Communication Systems;B1
ECSQARU;European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty;B1
IWSSIP;International Conference on Systems, Signals and Image Processing;B1
PRDC;Pacific Rim International Symposium on Dependable Computing;B1
AHS;NASA/ESA Conference on Adaptive Hardware and Systems;B1
BMEI;International Conference BioMedical Engineering and Informatics;B1
CogSIMA;IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support;B1
DOLAP;International Workshop On Data Warehousing and OLAP;B1
DSRT;IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications;B1
EuroSPI;European Conference on Software Process Improvement;B1
EUSFLAT;Conference of the European Society for Fuzzy Logic and Technology;B1
HAIS;International Conference on Hybrid Artificial Intelligence Systems;B1
ICARV;International Conference on Control, Automation, Robotics and Vision;B1
ICECCS;International Conference on Engineering of Complex Computer;B1
ICIC;International Conference on Intelligent Computing;B1
ICST;International Conference on Sensing Technology;B1
IOLTS;IEEE International On-Line Testing Symposium;B1
ISNN;International Symposium on Neural Networks;B1
MLDM;International Conference on Machine Learning and Data Mining in Pattern Recognition;B1
P2P;International Conference on Peer-to-Peer Computing;B1
RECOSOC;International Symposium on Reconfigurable Communication-centric Systems-on-Chip;B1
SACI;IEEE International Symposium on Applied Computational Intelligence and Informatics;B1
SOFSEM;International Conference on Current Trends in Theory and Practice of Computer Science;B1
WOLLIC;International Workshop on Logic, Language, Information and Computation;B1
ACIVS;Advanced Concepts for Intelligent Vision Systems;B1
AGI;Conference on Artificial General Intelligence;B1
AI;Canadian Conference on Artificial Intelligence;B1
AMW;Alberto Mendelzon International Workshop on Foundations of Data Management;B1
ARC;International Symposium on Applied Reconfigurable Computing;B1
CCCG;Canadian Conference on Computational Geometry;B1
DDECS;IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems;B1
EPIA;Portuguese Conference on Artificial Intelligence;B1
